Url,Anchor Text,External
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#content,Skip to main content,FALSE
https://lifesciences.datastations.nl/,,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,Add Data,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?ownerId=1,New Dataset,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,Search,FALSE
https://dans.knaw.nl/life-sciences,About,TRUE
https://guides.dataverse.org/en/6.0/user,User Guide,TRUE
https://dans.knaw.nl/life-sciences#data_person_question,Support,TRUE
https://lifesciences.datastations.nl/loginpage.xhtml?redirectPage=%2Fdataset.xhtml%3FpersistentId%3Ddoi%3A10.17026%2Fdans-z43-qqgb,Log In,FALSE
https://lifesciences.datastations.nl/dataverse/root,DANS Data Station Life Sciences,FALSE
https://lifesciences.datastations.nl/dataverse/root,DANS Data Station Life Sciences,FALSE
https://doi.org/10.17026/dans-z43-qqgb,https://doi.org/10.17026/dans-z43-qqgb,TRUE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,EndNote XML,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,RIS,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,BibTeX,FALSE
https://dataverse.org/best-practices/data-citation,Data Citation Standards,TRUE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,Contact Owner,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,Share,FALSE
http://creativecommons.org/publicdomain/zero/1.0,CC0 1.0,TRUE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#datasetForm:tabView:dataFilesTab,Files,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#datasetForm:tabView:metadataMapTab,Metadata,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#datasetForm:tabView:termsTab,Terms,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#datasetForm:tabView:versionsTab,Versions,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi%3A10.17026%2Fdans-z43-qqgb&version=&q=&fileAccess=&fileTag=&fileSortField=&fileSortOrder=&tagPresort=false&folderPresort=true,All,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi%3A10.17026%2Fdans-z43-qqgb&version=&q=&fileTypeGroupFacet=%22Data%22&fileAccess=&fileTag=&fileSortField=&fileSortOrder=&tagPresort=false&folderPresort=true,Data (11),FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi%3A10.17026%2Fdans-z43-qqgb&version=&q=&fileTypeGroupFacet=%22Archive%22&fileAccess=&fileTag=&fileSortField=&fileSortOrder=&tagPresort=false&folderPresort=true,Archive (1),FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi%3A10.17026%2Fdans-z43-qqgb&version=&q=&fileTypeGroupFacet=&fileTag=&fileSortField=&fileSortOrder=&tagPresort=false&folderPresort=true,All,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi%3A10.17026%2Fdans-z43-qqgb&version=&q=&fileTypeGroupFacet=&fileAccess=Public&fileTag=&fileSortField=&fileSortOrder=&tagPresort=false&folderPresort=true,Public (12),FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi%3A10.17026%2Fdans-z43-qqgb&version=&q=&fileTypeGroupFacet=&fileAccess=&tagPresort=false&folderPresort=true,Name (A-Z),FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi%3A10.17026%2Fdans-z43-qqgb&version=&q=&fileTypeGroupFacet=&fileAccess=&fileSortField=name&fileSortOrder=desc&tagPresort=false&folderPresort=true,Name (Z-A),FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi%3A10.17026%2Fdans-z43-qqgb&version=&q=&fileTypeGroupFacet=&fileAccess=&fileSortField=date&tagPresort=false,Newest,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi%3A10.17026%2Fdans-z43-qqgb&version=&q=&fileTypeGroupFacet=&fileAccess=&fileSortField=date&fileSortOrder=desc&tagPresort=false,Oldest,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi%3A10.17026%2Fdans-z43-qqgb&version=&q=&fileTypeGroupFacet=&fileAccess=&fileSortField=size&tagPresort=false,Size,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi%3A10.17026%2Fdans-z43-qqgb&version=&q=&fileTypeGroupFacet=&fileAccess=&fileSortField=type&tagPresort=false,Type,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,Download,FALSE
https://lifesciences.datastations.nl/file.xhtml?fileId=10827&version=1.0,easy-migration.zip,FALSE
https://lifesciences.datastations.nl/file.xhtml?fileId=10827&version=1.0&toolType=PREVIEW,"Preview easy-migration.zip""""",FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,ZIP Archive,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,EndNote XML,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,RIS,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,BibTeX,FALSE
https://lifesciences.datastations.nl/file.xhtml?fileId=10837&version=1.0,rawMR_kdata_Human1.mat,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,MATLAB Data,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,EndNote XML,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,RIS,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,BibTeX,FALSE
https://lifesciences.datastations.nl/file.xhtml?fileId=10834&version=1.0,rawMR_kdata_Human2.mat,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,MATLAB Data,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,EndNote XML,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,RIS,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,BibTeX,FALSE
https://lifesciences.datastations.nl/file.xhtml?fileId=10835&version=1.0,rawMR_kdata_Human3.mat,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,MATLAB Data,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,EndNote XML,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,RIS,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,BibTeX,FALSE
https://lifesciences.datastations.nl/file.xhtml?fileId=10828&version=1.0,rawMR_kdata_Human4.mat,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,MATLAB Data,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,EndNote XML,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,RIS,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,BibTeX,FALSE
https://lifesciences.datastations.nl/file.xhtml?fileId=10829&version=1.0,rawMR_kdata_Human5.mat,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,MATLAB Data,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,EndNote XML,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,RIS,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,BibTeX,FALSE
https://lifesciences.datastations.nl/file.xhtml?fileId=10830&version=1.0,rawMR_kdata_Human6.mat,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,MATLAB Data,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,EndNote XML,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,RIS,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,BibTeX,FALSE
https://lifesciences.datastations.nl/file.xhtml?fileId=10833&version=1.0,rawMR_kdata_Human7.mat,FALSE
https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-z43-qqgb#,MATLAB Data,FALSE
